state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrival_quantity
Maharashtra,Kolhapur,Kolhapur,Rice,Common,01/01/2025,1842,3315,2578,358
Maharashtra,Kolhapur,Kolhapur,Maize,Yellow,01/01/2025,1373,1983,1678,316
Maharashtra,Kolhapur,Vadgaon,Tomato,Local,01/01/2025,583,1822,1202,252
Maharashtra,Kolhapur,Vadgaon,Onion,Red,01/01/2025,806,2351,1578,152
Maharashtra,Kolhapur,Vadgaon,Potato,Local,01/01/2025,637,1403,1020,196
Maharashtra,Kolhapur,Vadgaon,Wheat,147 Average,01/01/2025,1428,2142,1785,343
Maharashtra,Kolhapur,Vadgaon,Rice,Common,01/01/2025,1593,2868,2230,162
Maharashtra,Kolhapur,Vadgaon,Maize,Yellow,01/01/2025,1149,1659,1404,37
Maharashtra,Nashik,Nashik,Tomato,Local,02/01/2025,608,1902,1255,189
Maharashtra,Nashik,Nashik,Onion,Red,02/01/2025,756,2207,1481,313
Maharashtra,Nashik,Nashik,Potato,Local,02/01/2025,718,1581,1149,205
Maharashtra,Nashik,Nashik,Wheat,147 Average,02/01/2025,1351,2027,1689,199
Maharashtra,Nashik,Nashik,Rice,Common,02/01/2025,1742,3136,2439,75
Maharashtra,Nashik,Nashik,Maize,Yellow,02/01/2025,1384,1999,1691,134
Maharashtra,Nashik,Lasalgaon,Tomato,Local,02/01/2025,598,1870,1234,295
Maharashtra,Nashik,Lasalgaon,Onion,Red,02/01/2025,760,2219,1489,244
Maharashtra,Nashik,Lasalgaon,Potato,Local,02/01/2025,665,1464,1064,84
Maharashtra,Nashik,Lasalgaon,Wheat,147 Average,02/01/2025,1332,1998,1665,142
Maharashtra,Nashik,Lasalgaon,Rice,Common,02/01/2025,1676,3017,2346,185
Maharashtra,Nashik,Lasalgaon,Maize,Yellow,02/01/2025,1385,2001,1693,358
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,02/01/2025,520,1626,1073,203
Maharashtra,Nashik,Pimpalgaon,Onion,Red,02/01/2025,779,2272,1525,177
Maharashtra,Nashik,Pimpalgaon,Potato,Local,02/01/2025,755,1661,1208,107
Maharashtra,Nashik,Pimpalgaon,Wheat,147 Average,02/01/2025,1284,1926,1605,275
Maharashtra,Nashik,Pimpalgaon,Rice,Common,02/01/2025,1831,3297,2564,186
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,02/01/2025,1362,1967,1664,273
Maharashtra,Pune,Pune,Tomato,Local,02/01/2025,533,1665,1099,203
Maharashtra,Pune,Pune,Onion,Red,02/01/2025,895,2611,1753,186
Maharashtra,Pune,Pune,Potato,Local,02/01/2025,746,1643,1194,162
Maharashtra,Pune,Pune,Wheat,147 Average,02/01/2025,1416,2124,1770,289
Maharashtra,Pune,Pune,Rice,Common,02/01/2025,1627,2929,2278,131
Maharashtra,Pune,Pune,Maize,Yellow,02/01/2025,1157,1671,1414,99
Maharashtra,Pune,Junnar,Tomato,Local,02/01/2025,604,1887,1245,252
Maharashtra,Pune,Junnar,Onion,Red,02/01/2025,829,2420,1624,141
Maharashtra,Pune,Junnar,Potato,Local,02/01/2025,699,1537,1118,64
Maharashtra,Pune,Junnar,Wheat,147 Average,02/01/2025,1288,1932,1610,175
Maharashtra,Pune,Junnar,Rice,Common,02/01/2025,1606,2891,2248,230
Maharashtra,Pune,Junnar,Maize,Yellow,02/01/2025,1254,1811,1532,310
Maharashtra,Pune,Khed,Tomato,Local,02/01/2025,506,1582,1044,150
Maharashtra,Pune,Khed,Onion,Red,02/01/2025,812,2368,1590,282
Maharashtra,Pune,Khed,Potato,Local,02/01/2025,767,1689,1228,183
Maharashtra,Pune,Khed,Wheat,147 Average,02/01/2025,1474,2211,1842,271
Maharashtra,Pune,Khed,Rice,Common,02/01/2025,1700,3060,2380,152
Maharashtra,Pune,Khed,Maize,Yellow,02/01/2025,1346,1944,1645,221
Maharashtra,Ahmednagar,Ahmednagar,Tomato,Local,02/01/2025,584,1825,1204,95
Maharashtra,Ahmednagar,Ahmednagar,Onion,Red,02/01/2025,909,2653,1781,375
Maharashtra,Ahmednagar,Ahmednagar,Potato,Local,02/01/2025,720,1585,1152,296
Maharashtra,Ahmednagar,Ahmednagar,Wheat,147 Average,02/01/2025,1268,1903,1585,168
Maharashtra,Ahmednagar,Ahmednagar,Rice,Common,02/01/2025,1604,2887,2245,214
Maharashtra,Ahmednagar,Ahmednagar,Maize,Yellow,02/01/2025,1241,1793,1517,97
Maharashtra,Ahmednagar,Sangamner,Tomato,Local,02/01/2025,612,1913,1262,92
Maharashtra,Ahmednagar,Sangamner,Onion,Red,02/01/2025,822,2399,1610,259
Maharashtra,Ahmednagar,Sangamner,Potato,Local,02/01/2025,721,1587,1154,105
Maharashtra,Ahmednagar,Sangamner,Wheat,147 Average,02/01/2025,1532,2298,1915,39
Maharashtra,Ahmednagar,Sangamner,Rice,Common,02/01/2025,1697,3054,2375,127
Maharashtra,Ahmednagar,Sangamner,Maize,Yellow,02/01/2025,1174,1696,1435,100
Maharashtra,Solapur,Solapur,Tomato,Local,02/01/2025,606,1895,1250,76
Maharashtra,Solapur,Solapur,Onion,Red,02/01/2025,884,2579,1731,74
Maharashtra,Solapur,Solapur,Potato,Local,02/01/2025,768,1691,1229,192
Maharashtra,Solapur,Solapur,Wheat,147 Average,02/01/2025,1497,2246,1871,184
Maharashtra,Solapur,Solapur,Rice,Common,02/01/2025,1787,3218,2502,266
Maharashtra,Solapur,Solapur,Maize,Yellow,02/01/2025,1221,1763,1492,150
Maharashtra,Solapur,Pandharpur,Tomato,Local,02/01/2025,530,1657,1093,312
Maharashtra,Solapur,Pandharpur,Onion,Red,02/01/2025,869,2536,1702,155
Maharashtra,Solapur,Pandharpur,Potato,Local,02/01/2025,663,1458,1060,284
Maharashtra,Solapur,Pandharpur,Wheat,147 Average,02/01/2025,1422,2133,1777,274
Maharashtra,Solapur,Pandharpur,Rice,Common,02/01/2025,1876,3378,2627,270
Maharashtra,Solapur,Pandharpur,Maize,Yellow,02/01/2025,1210,1748,1479,181
Maharashtra,Kolhapur,Kolhapur,Tomato,Local,02/01/2025,561,1754,1157,225
Maharashtra,Kolhapur,Kolhapur,Onion,Red,02/01/2025,855,2495,1675,136
Maharashtra,Kolhapur,Kolhapur,Potato,Local,02/01/2025,693,1526,1109,72
Maharashtra,Kolhapur,Kolhapur,Wheat,147 Average,02/01/2025,1348,2023,1685,318
Maharashtra,Kolhapur,Kolhapur,Rice,Common,02/01/2025,1715,3088,2401,329
Maharashtra,Kolhapur,Kolhapur,Maize,Yellow,02/01/2025,1385,2001,1693,251
Maharashtra,Kolhapur,Vadgaon,Tomato,Local,02/01/2025,594,1856,1225,69
Maharashtra,Kolhapur,Vadgaon,Onion,Red,02/01/2025,796,2323,1559,124
Maharashtra,Kolhapur,Vadgaon,Potato,Local,02/01/2025,736,1620,1178,267
Maharashtra,Kolhapur,Vadgaon,Wheat,147 Average,02/01/2025,1527,2291,1909,313
Maharashtra,Kolhapur,Vadgaon,Rice,Common,02/01/2025,1876,3377,2626,160
Maharashtra,Kolhapur,Vadgaon,Maize,Yellow,02/01/2025,1226,1771,1498,327
Maharashtra,Nashik,Nashik,Tomato,Local,03/01/2025,518,1619,1068,202
Maharashtra,Nashik,Nashik,Onion,Red,03/01/2025,820,2393,1606,339
Maharashtra,Nashik,Nashik,Potato,Local,03/01/2025,755,1663,1209,286
Maharashtra,Nashik,Nashik,Wheat,147 Average,03/01/2025,1346,2019,1682,98
Maharashtra,Nashik,Nashik,Rice,Common,03/01/2025,1627,2929,2278,201
Maharashtra,Nashik,Nashik,Maize,Yellow,03/01/2025,1165,1683,1424,97
Maharashtra,Nashik,Lasalgaon,Tomato,Local,03/01/2025,564,1765,1164,132
Maharashtra,Nashik,Lasalgaon,Onion,Red,03/01/2025,776,2265,1520,167
Maharashtra,Nashik,Lasalgaon,Potato,Local,03/01/2025,726,1598,1162,338
Maharashtra,Nashik,Lasalgaon,Wheat,147 Average,03/01/2025,1446,2170,1808,86
Maharashtra,Nashik,Lasalgaon,Rice,Common,03/01/2025,1901,3423,2662,98
Maharashtra,Nashik,Lasalgaon,Maize,Yellow,03/01/2025,1366,1973,1669,283
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,03/01/2025,545,1705,1125,41
Maharashtra,Nashik,Pimpalgaon,Onion,Red,03/01/2025,828,2416,1622,90
Maharashtra,Nashik,Pimpalgaon,Potato,Local,03/01/2025,647,1425,1036,289
Maharashtra,Nashik,Pimpalgaon,Wheat,147 Average,03/01/2025,1283,1925,1604,187
Maharashtra,Nashik,Pimpalgaon,Rice,Common,03/01/2025,1791,3224,2507,237
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,03/01/2025,1292,1867,1579,136
Maharashtra,Pune,Pune,Tomato,Local,03/01/2025,541,1693,1117,298
Maharashtra,Pune,Pune,Onion,Red,03/01/2025,839,2448,1643,123
Maharashtra,Pune,Pune,Potato,Local,03/01/2025,717,1577,1147,136
Maharashtra,Pune,Pune,Wheat,147 Average,03/01/2025,1416,2124,1770,181
Maharashtra,Pune,Pune,Rice,Common,03/01/2025,1875,3375,2625,283
Maharashtra,Pune,Pune,Maize,Yellow,03/01/2025,1146,1656,1401,143
Maharashtra,Pune,Junnar,Tomato,Local,03/01/2025,536,1677,1106,267
Maharashtra,Pune,Junnar,Onion,Red,03/01/2025,904,2637,1770,203
Maharashtra,Pune,Junnar,Potato,Local,03/01/2025,737,1622,1179,37
Maharashtra,Pune,Junnar,Wheat,147 Average,03/01/2025,1495,2242,1868,309
Maharashtra,Pune,Junnar,Rice,Common,03/01/2025,1894,3410,2652,366
Maharashtra,Pune,Junnar,Maize,Yellow,03/01/2025,1331,1922,1626,306
Maharashtra,Pune,Khed,Tomato,Local,03/01/2025,555,1734,1144,168
Maharashtra,Pune,Khed,Onion,Red,03/01/2025,888,2591,1739,248
Maharashtra,Pune,Khed,Potato,Local,03/01/2025,668,1470,1069,179
Maharashtra,Pune,Khed,Wheat,147 Average,03/01/2025,1460,2190,1825,238
Maharashtra,Pune,Khed,Rice,Common,03/01/2025,1739,3131,2435,288
Maharashtra,Pune,Khed,Maize,Yellow,03/01/2025,1178,1702,1440,216
Maharashtra,Ahmednagar,Ahmednagar,Tomato,Local,03/01/2025,556,1740,1148,77
Maharashtra,Ahmednagar,Ahmednagar,Onion,Red,03/01/2025,921,2686,1803,341
Maharashtra,Ahmednagar,Ahmednagar,Potato,Local,03/01/2025,670,1474,1072,209
Maharashtra,Ahmednagar,Ahmednagar,Wheat,147 Average,03/01/2025,1489,2233,1861,169
Maharashtra,Ahmednagar,Ahmednagar,Rice,Common,03/01/2025,1883,3389,2636,224
Maharashtra,Ahmednagar,Ahmednagar,Maize,Yellow,03/01/2025,1237,1788,1512,226
Maharashtra,Ahmednagar,Sangamner,Tomato,Local,03/01/2025,599,1874,1236,233
Maharashtra,Ahmednagar,Sangamner,Onion,Red,03/01/2025,923,2693,1808,255
Maharashtra,Ahmednagar,Sangamner,Potato,Local,03/01/2025,668,1471,1069,239
Maharashtra,Ahmednagar,Sangamner,Wheat,147 Average,03/01/2025,1338,2008,1673,180
Maharashtra,Ahmednagar,Sangamner,Rice,Common,03/01/2025,1680,3024,2352,159
Maharashtra,Ahmednagar,Sangamner,Maize,Yellow,03/01/2025,1364,1971,1667,50
Maharashtra,Solapur,Solapur,Tomato,Local,03/01/2025,537,1679,1108,190
Maharashtra,Solapur,Solapur,Onion,Red,03/01/2025,770,2246,1508,255
Maharashtra,Solapur,Solapur,Potato,Local,03/01/2025,762,1678,1220,174
Maharashtra,Solapur,Solapur,Wheat,147 Average,03/01/2025,1270,1905,1587,47
Maharashtra,Solapur,Solapur,Rice,Common,03/01/2025,1894,3409,2651,106
Maharashtra,Solapur,Solapur,Maize,Yellow,03/01/2025,1295,1871,1583,86
Maharashtra,Solapur,Pandharpur,Tomato,Local,03/01/2025,585,1830,1207,55
Maharashtra,Solapur,Pandharpur,Onion,Red,03/01/2025,804,2346,1575,170
Maharashtra,Solapur,Pandharpur,Potato,Local,03/01/2025,633,1392,1012,49
Maharashtra,Solapur,Pandharpur,Wheat,147 Average,03/01/2025,1443,2165,1804,265
Maharashtra,Solapur,Pandharpur,Rice,Common,03/01/2025,1792,3225,2508,110
Maharashtra,Solapur,Pandharpur,Maize,Yellow,03/01/2025,1369,1978,1673,368
Maharashtra,Kolhapur,Kolhapur,Tomato,Local,03/01/2025,566,1769,1167,259
Maharashtra,Kolhapur,Kolhapur,Onion,Red,03/01/2025,879,2564,1721,356
Maharashtra,Kolhapur,Kolhapur,Potato,Local,03/01/2025,713,1569,1141,201
Maharashtra,Kolhapur,Kolhapur,Wheat,147 Average,03/01/2025,1392,2089,1740,347
Maharashtra,Kolhapur,Kolhapur,Rice,Common,03/01/2025,1640,2952,2296,68
Maharashtra,Kolhapur,Kolhapur,Maize,Yellow,03/01/2025,1143,1652,1397,295
Maharashtra,Kolhapur,Vadgaon,Tomato,Local,03/01/2025,512,1602,1057,238
Maharashtra,Kolhapur,Vadgaon,Onion,Red,03/01/2025,787,2296,1541,284
Maharashtra,Kolhapur,Vadgaon,Potato,Local,03/01/2025,649,1427,1038,289
Maharashtra,Kolhapur,Vadgaon,Wheat,147 Average,03/01/2025,1324,1986,1655,154
Maharashtra,Kolhapur,Vadgaon,Rice,Common,03/01/2025,1625,2926,2275,101
Maharashtra,Kolhapur,Vadgaon,Maize,Yellow,03/01/2025,1289,1862,1575,337
Maharashtra,Nashik,Nashik,Tomato,Local,04/01/2025,568,1775,1171,137
Maharashtra,Nashik,Nashik,Onion,Red,04/01/2025,920,2684,1802,188
Maharashtra,Nashik,Nashik,Potato,Local,04/01/2025,693,1526,1109,211
Maharashtra,Nashik,Nashik,Wheat,147 Average,04/01/2025,1479,2218,1848,183
Maharashtra,Nashik,Nashik,Rice,Common,04/01/2025,1702,3064,2383,148
Maharashtra,Nashik,Nashik,Maize,Yellow,04/01/2025,1231,1778,1504,275
Maharashtra,Nashik,Lasalgaon,Tomato,Local,04/01/2025,537,1680,1108,218
Maharashtra,Nashik,Lasalgaon,Onion,Red,04/01/2025,853,2488,1670,151
Maharashtra,Nashik,Lasalgaon,Potato,Local,04/01/2025,679,1494,1086,299
Maharashtra,Nashik,Lasalgaon,Wheat,147 Average,04/01/2025,1362,2043,1702,169
Maharashtra,Nashik,Lasalgaon,Rice,Common,04/01/2025,1704,3068,2386,340
Maharashtra,Nashik,Lasalgaon,Maize,Yellow,04/01/2025,1191,1721,1456,128
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,04/01/2025,567,1773,1170,98
Maharashtra,Nashik,Pimpalgaon,Onion,Red,04/01/2025,773,2257,1515,182
Maharashtra,Nashik,Pimpalgaon,Potato,Local,04/01/2025,714,1571,1142,36
Maharashtra,Nashik,Pimpalgaon,Wheat,147 Average,04/01/2025,1342,2014,1678,40
Maharashtra,Nashik,Pimpalgaon,Rice,Common,04/01/2025,1895,3412,2653,75
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,04/01/2025,1282,1852,1567,130
Maharashtra,Pune,Pune,Tomato,Local,04/01/2025,514,1607,1060,142
Maharashtra,Pune,Pune,Onion,Red,04/01/2025,802,2341,1571,168
Maharashtra,Pune,Pune,Potato,Local,04/01/2025,667,1469,1068,163
Maharashtra,Pune,Pune,Wheat,147 Average,04/01/2025,1463,2195,1829,131
Maharashtra,Pune,Pune,Rice,Common,04/01/2025,1777,3198,2487,298
Maharashtra,Pune,Pune,Maize,Yellow,04/01/2025,1184,1711,1447,326
Maharashtra,Pune,Junnar,Tomato,Local,04/01/2025,553,1728,1140,114
Maharashtra,Pune,Junnar,Onion,Red,04/01/2025,791,2307,1549,268
Maharashtra,Pune,Junnar,Potato,Local,04/01/2025,636,1401,1018,43
Maharashtra,Pune,Junnar,Wheat,147 Average,04/01/2025,1321,1982,1651,328
Maharashtra,Pune,Junnar,Rice,Common,04/01/2025,1832,3298,2565,265
Maharashtra,Pune,Junnar,Maize,Yellow,04/01/2025,1222,1765,1493,93
Maharashtra,Pune,Khed,Tomato,Local,04/01/2025,599,1873,1236,103
Maharashtra,Pune,Khed,Onion,Red,04/01/2025,873,2547,1710,246
Maharashtra,Pune,Khed,Potato,Local,04/01/2025,730,1607,1168,74
Maharashtra,Pune,Khed,Wheat,147 Average,04/01/2025,1281,1922,1601,198
Maharashtra,Pune,Khed,Rice,Common,04/01/2025,1580,2844,2212,304
Maharashtra,Pune,Khed,Maize,Yellow,04/01/2025,1233,1781,1507,296
Maharashtra,Ahmednagar,Ahmednagar,Tomato,Local,04/01/2025,529,1655,1092,201
Maharashtra,Ahmednagar,Ahmednagar,Onion,Red,04/01/2025,839,2449,1644,58
Maharashtra,Ahmednagar,Ahmednagar,Potato,Local,04/01/2025,683,1504,1093,121
Maharashtra,Ahmednagar,Ahmednagar,Wheat,147 Average,04/01/2025,1507,2261,1884,262
Maharashtra,Ahmednagar,Ahmednagar,Rice,Common,04/01/2025,1901,3422,2661,244
Maharashtra,Ahmednagar,Ahmednagar,Maize,Yellow,04/01/2025,1213,1753,1483,325
Maharashtra,Ahmednagar,Sangamner,Tomato,Local,04/01/2025,533,1667,1100,49
Maharashtra,Ahmednagar,Sangamner,Onion,Red,04/01/2025,775,2261,1518,268
Maharashtra,Ahmednagar,Sangamner,Potato,Local,04/01/2025,685,1508,1096,263
Maharashtra,Ahmednagar,Sangamner,Wheat,147 Average,04/01/2025,1455,2182,1818,126
Maharashtra,Ahmednagar,Sangamner,Rice,Common,04/01/2025,1778,3201,2489,207
Maharashtra,Ahmednagar,Sangamner,Maize,Yellow,04/01/2025,1312,1895,1603,204
Maharashtra,Solapur,Solapur,Tomato,Local,04/01/2025,554,1731,1142,180
Maharashtra,Solapur,Solapur,Onion,Red,04/01/2025,876,2557,1716,81
Maharashtra,Solapur,Solapur,Potato,Local,04/01/2025,741,1631,1186,163
Maharashtra,Solapur,Solapur,Wheat,147 Average,04/01/2025,1346,2019,1682,175
Maharashtra,Solapur,Solapur,Rice,Common,04/01/2025,1905,3429,2667,312
Maharashtra,Solapur,Solapur,Maize,Yellow,04/01/2025,1263,1824,1543,160
Maharashtra,Solapur,Pandharpur,Tomato,Local,04/01/2025,555,1737,1146,67
Maharashtra,Solapur,Pandharpur,Onion,Red,04/01/2025,897,2616,1756,84
Maharashtra,Solapur,Pandharpur,Potato,Local,04/01/2025,633,1393,1013,273
Maharashtra,Solapur,Pandharpur,Wheat,147 Average,04/01/2025,1269,1903,1586,110
Maharashtra,Solapur,Pandharpur,Rice,Common,04/01/2025,1829,3293,2561,248
Maharashtra,Solapur,Pandharpur,Maize,Yellow,04/01/2025,1170,1690,1430,86
Maharashtra,Kolhapur,Kolhapur,Tomato,Local,04/01/2025,521,1630,1075,178
Maharashtra,Kolhapur,Kolhapur,Onion,Red,04/01/2025,806,2351,1578,277
Maharashtra,Kolhapur,Kolhapur,Potato,Local,04/01/2025,692,1524,1108,221
Maharashtra,Kolhapur,Kolhapur,Wheat,147 Average,04/01/2025,1490,2235,1862,312
Maharashtra,Kolhapur,Kolhapur,Rice,Common,04/01/2025,1607,2892,2249,114
Maharashtra,Kolhapur,Kolhapur,Maize,Yellow,04/01/2025,1364,1970,1667,80
Maharashtra,Kolhapur,Vadgaon,Tomato,Local,04/01/2025,556,1739,1147,106
Maharashtra,Kolhapur,Vadgaon,Onion,Red,04/01/2025,922,2690,1806,187
Maharashtra,Kolhapur,Vadgaon,Potato,Local,04/01/2025,708,1557,1132,285
Maharashtra,Kolhapur,Vadgaon,Wheat,147 Average,04/01/2025,1511,2266,1888,75
Maharashtra,Kolhapur,Vadgaon,Rice,Common,04/01/2025,1808,3256,2532,228
Maharashtra,Kolhapur,Vadgaon,Maize,Yellow,04/01/2025,1165,1684,1424,194
Maharashtra,Nashik,Nashik,Tomato,Local,05/01/2025,524,1640,1082,289
Maharashtra,Nashik,Nashik,Onion,Red,05/01/2025,839,2449,1644,316
Maharashtra,Nashik,Nashik,Potato,Local,05/01/2025,752,1656,1204,160
Maharashtra,Nashik,Nashik,Wheat,147 Average,05/01/2025,1418,2127,1772,136
Maharashtra,Nashik,Nashik,Rice,Common,05/01/2025,1777,3199,2488,58
Maharashtra,Nashik,Nashik,Maize,Yellow,05/01/2025,1343,1940,1641,353
Maharashtra,Nashik,Lasalgaon,Tomato,Local,05/01/2025,571,1785,1178,65
Maharashtra,Nashik,Lasalgaon,Onion,Red,05/01/2025,871,2540,1705,158
Maharashtra,Nashik,Lasalgaon,Potato,Local,05/01/2025,681,1500,1090,328
Maharashtra,Nashik,Lasalgaon,Wheat,147 Average,05/01/2025,1345,2018,1681,50
Maharashtra,Nashik,Lasalgaon,Rice,Common,05/01/2025,1787,3218,2502,59
Maharashtra,Nashik,Lasalgaon,Maize,Yellow,05/01/2025,1177,1701,1439,317
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,05/01/2025,578,1807,1192,298
Maharashtra,Nashik,Pimpalgaon,Onion,Red,05/01/2025,854,2491,1672,181
Maharashtra,Nashik,Pimpalgaon,Potato,Local,05/01/2025,715,1573,1144,307
Maharashtra,Nashik,Pimpalgaon,Wheat,147 Average,05/01/2025,1537,2305,1921,189
Maharashtra,Nashik,Pimpalgaon,Rice,Common,05/01/2025,1803,3245,2524,100
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,05/01/2025,1328,1919,1623,312
Maharashtra,Pune,Pune,Tomato,Local,05/01/2025,534,1670,1102,286
Maharashtra,Pune,Pune,Onion,Red,05/01/2025,798,2329,1563,206
Maharashtra,Pune,Pune,Potato,Local,05/01/2025,764,1680,1222,320
Maharashtra,Pune,Pune,Wheat,147 Average,05/01/2025,1370,2055,1712,76
Maharashtra,Pune,Pune,Rice,Common,05/01/2025,1605,2889,2247,279
Maharashtra,Pune,Pune,Maize,Yellow,05/01/2025,1281,1851,1566,303
Maharashtra,Pune,Junnar,Tomato,Local,05/01/2025,575,1799,1187,63
Maharashtra,Pune,Junnar,Onion,Red,05/01/2025,764,2229,1496,199
